"Comparison"	"Median log2 fold difference"	"Direction of increase"	"P"	"q"	"Greengenes"	"SILVA"	"FeatureID"
"R vs C"	7.194	"Rice bran"	0.003	0.058	"Oscillospira"	"Ruminococcaceae"	"296706d01ebfa13eb32429ba7e261024"
"R vs C"	5.966	"Rice bran"	0.001	0.026	"Clostridiales"	"A2"	"de002d2de3fecef1cdf35fc47494055b"
"R vs C"	6.402	"Rice bran"	0.001	0.03	"Coprococcus"	"[Eubacterium] xylanophilum group"	"535eb91cab58aee2573b055664c5625c"
"R vs C"	5.607	"Rice bran"	0	0.013	"Clostridiales"	"Clostridiales vadinBB60 group"	"a4c4b7b22d3dd131417466f2f49e3181"
"R vs C"	4.153	"Rice bran"	0	0.014	"Clostridiales"	"Lachnospiraceae NK4A136 group"	"15ac133af11f957ad7bf0943b14a4993"
"R vs C"	6.392	"Rice bran"	0	0.014	"Clostridiales"	"A2"	"f03b21b0d3b38bc8b7ab248a02d1073e"
"R vs C"	3.573	"Rice bran"	0.004	0.07	"Clostridiales"	"Clostridiales vadinBB60 group"	"49188ab307c45c3e7805b241ee27a283"
"R vs C"	8.498	"Rice bran"	0.001	0.042	"Lachnospiraceae"	"Roseburia"	"2d0b61d3962846ad597598bd8657bdc3"
"R vs C"	6.205	"Rice bran"	0.001	0.031	"Clostridiales"	"Clostridiales bacterium CIEAF 020"	"2d0559e9488391eb0918ff0a97e14037"
"R vs C"	1.821	"Rice bran"	0.004	0.062	"[Mogibacteriaceae]"	"Family XIII UCG-001"	"6291756b430613f5e90c7f3c816e78f3"
"R vs C"	6.212	"Rice bran"	0	0.017	"Lachnospiraceae"	"Lachnospiraceae"	"73f14d03d440b253e6e671db77fb578a"
"R vs C"	7.868	"Rice bran"	0.002	0.045	"Lachnospiraceae"	"Lachnospiraceae"	"9089217fbbc318a508cf6ca337c7eee1"
"R vs C"	7.957	"Rice bran"	0.003	0.059	"Clostridiales"	"Lachnospiraceae bacterium COE1"	"714af950d876a5b1722495c2ea8f8144"
"R vs C"	4.852	"Rice bran"	0.002	0.052	"Clostridiales"	"Lachnospiraceae NK4B4 group"	"243a725661674fde1c0c2afd5f24393d"
"R vs C"	-7.029	"Control"	0.007	0.09	"Lachnospiraceae"	"Roseburia"	"d781b344636727c5bbd7d89192c91b74"
"R vs C"	-7.342	"Control"	0.006	0.077	"Ruminococcaceae"	"UBA1819"	"ba84df5178b7257a2863c00f1e6866db"
"R vs C"	-7.194	"Control"	0.002	0.05	"RF39"	"Mollicutes RF39"	"3216674258ed299ca648e540753acc50"
"R vs C"	-7.53	"Control"	0	0.012	"Oscillospira"	"Ruminiclostridium 9"	"fa015d48a85d320c7084a2744186d4b3"
"R vs C"	-2.431	"Control"	0.003	0.069	"Clostridiales"	"Blautia"	"d4145a4b797c890b1f5b38c3f66ea85b"
"R vs C"	-7.751	"Control"	0	0.022	"Lactococcus"	"Lactococcus"	"dd599b06e0976f4b08f6ca7b6a194e36"
"R vs C"	-8.472	"Control"	0.001	0.028	"Clostridiales"	"Lachnospiraceae NK4A136 group"	"97045c49b1ff5340af3f820f6fa5b3d8"
"R vs C"	-2.556	"Control"	0.003	0.063	"Lachnospiraceae"	"Lachnoclostridium"	"da402f9e0542704e361381a2df159e4d"
"R vs C"	-5.838	"Control"	0.002	0.051	"Dorea"	"Dorea"	"82434283f3ab53e959d51322ae902892"
"R vs C"	-5.8	"Control"	0.005	0.074	"Christensenellaceae"	"bacterium YE57"	"ae7862fcca9cee5d2165a4d790465a60"
"R vs C"	-7.402	"Control"	0	0.011	"Lachnospiraceae"	"Lachnospiraceae"	"99e03d98be225fc4699960359c8c86b5"
"R vs C"	-5.712	"Control"	0.003	0.057	"Lachnospiraceae"	"Lachnospiraceae"	"2e028bb632768e35b6f425e8202b5ecf"
"R vs C"	-1.944	"Control"	0.004	0.078	"Clostridiales"	"Lachnospiraceae"	"f2c41a9cd767b7b2a7b3cb435b46965d"
"R vs C"	-2.266	"Control"	0.005	0.085	"Clostridiales"	"Lachnospiraceae"	"876bbabcbca736f299975a3bdd4dcb00"
"R vs C"	-1.092	"Control"	0.005	0.083	"Clostridiales"	"Blautia"	"5c92dea32a006d670070aecdde7ea005"
"F vs C"	6.984	"B. longum-fermented rice bran"	0.003	0.048	"Coprococcus"	"[Eubacterium] xylanophilum group"	"f3bc23b18d310dccb871e0bd199835df"
"F vs C"	7.142	"B. longum-fermented rice bran"	0.005	0.056	"Clostridiales"	"Ruminococcaceae UCG-014"	"987dbcb89f911cc439d950eacbdda253"
"F vs C"	6.552	"B. longum-fermented rice bran"	0.005	0.057	"S24-7"	"Muribaculaceae"	"b7a1f22358a59b896e562979977bed27"
"F vs C"	7.875	"B. longum-fermented rice bran"	0.001	0.021	"Clostridiales"	"Ruminococcaceae UCG-014"	"53ef0b15dc79167c7f1d1fc58453a3a8"
